Word	SightVocab	Compound	LTS	morphs	Svocab-LTS	"D,ND"	comment
passing			"1,3"	2		D	
pat	0			1	1	D	
path			1	1		D	
paws			"1,9"	2		D	
paying			"1,3,9"	2		D	
pecked			"1,3"	2		D	
pelt			"1,2"	1		D	
people	0			1		ND	
person's			"1,3,7,8"	2		D	
peru	NAME		ND	1		ND	
pet	-1			1	1	D	
pet's	-1		"S,7"	2	"1,7"	D	sight word + 's
petal			"1,3,5"	1		D	
petals			"1,3,5"	2		D	
peter	 		"1,5,8"	1		D	
peter's	 		"1,5,7,8"	2		D	
photography	 		"1,2,5"	1		D	unstressed V
picking			"1,3"	2		D	
picture	1			1	"1,12"	D	
pictures	1		"S,6"	2	"1,6,12"	D	sight word + es
pie	 		"1,5"	1		D	
piece			"1,7,11"	1		D	
pieces			"1,6,7,11"	2		D	
pile			"1,4"	1		D	
place	0			1	"1,2,4,7"	D	
places	0		"S,6"	2	"1,2,4,6,7"	D	sight word + es
planets			"1,2,3"	2		D	
plant	0			1	"1,2"	D	
plants			"1,2"	2		D	
playing	-1		"S,3"	2	"1,2,6,9"	D	sight word + ing
plays	-1		1	2	"1,2,9"	D	sight word + s
pm	 1			1		ND	spell
pointed			"1,2,3,9"	2		D	
points			"1,2,9"	2		D	
pond			"1,2"	1		D	
pool			"1,9"	1		D	
pools			"1,9"	2		D	
pot	1			1	1	D	
pounces			"1,6,7,9"	2		D	
powered			"1,3,8,9"	2		D	
prepared	 		"1,4,5,6"	2		D	
prepares			"1,4,5,6"	2		D	
presents	 		"1,2"	2		D	S VOICING
prey			"1,2,9"	1		D	
products			"1,2,3"	2		D	
program	 		"1,2,5"	1		D	
projects			"1,2,3"	2		D	
pumped			"1,2,3"	2		D	
purpose	 		ND	1		ND	"unaccented V, cons voicing"
push	1			1		ND	
pushed	1		3	2		ND	sight word + ed
put	0			1		ND	
puzzle			"1,6"	1		D	
puzzles			"1,6"	2		D	
quite			"1,4"	1		D	
rain	0			1	"1,9"	D	
rained	0		"S,3"	2	"1,3,9"	D	sight word + ed
raining	0		"S,3"	2	"1,3,9"	D	sight word + ing
ran	0			1	1	D	
rang			"1,2"	1		D	
reached			"1,3,9"	1		D	
reading	-1		"S,3"	2	"1,3,9"	D	sight word + ing
ready	1			1	"1,5,9"	D	
really			"1,6,9"	2		D	
reasons	 		"1,9"	2		D	"s voicing, unstressed v"
reception	 		"1,5,7"	1		D	
recorder	 		"1,5,6,8"	1		D	
red	-1			1	1	D	
relative	 		"1,4,5"	1		D	
relieved	 		"1,6,10,11"	2		D	
religious	 		"1,5,7,10"	1		D	
reminded	 		"1,2,3,5"	2		D	
rest			"1,2"	1		D	
rested			"1,2,3"	2		D	
return	 		"1,5,9"	1		D	
returned	 		"1,3,5,9"	2		D	
riding	-1		"S,10"	2	"1,4,10"	D	sight word + ing
rock	0			1	1	D	
rocks	0		"S,1"	2	1	D	sight word + s
rocky	0		"S,6"	2	"1,6"	D	sight word + y
roll			1	1		D	
rolled			"1,3"	2		D	
room	1			1	"1,9"	D	
rooster			"1,2,6,9"	1		D	
rough	 		ND	1		ND	Fry's 459
round			"1,2,9"	1		D	
rules			"1,4,6"	2		D	
running	-1		"S,3,10"	2	"1,3,10"	D	sight word + ing
runs	-1		"S,1"	2	1	D	sight word + s
rural	 		"1,8"	1		D	
russia	 		"1,5,12"	1		D	
safe			"1,4"	1		D	
safely			"1,4,6"	2		D	
said	-1			1		ND	
sailing			"1,3,9"	2		D	
sam			1	1		D	
same	0			1	"1,4"	D	
sat	0			1	1	D	
satellites	 		"1,4,6"	2		D	 unstressed V
saturday	 		"1,8,9"	1		D	
saw	0			1	"1,9"	D	
say	-1			1	"1,9"	D	
says	 		ND	2		ND	
scary			"1,2,5,8"	1		D	
school	0			1	"1,9,12"	D	
science	 		"1,2,7,12"	1		D	
scrambling			"1,2,6,10"	2		D	
screen			"1,2,9"	1		D	
sea	1			1	"1,9"	D	
seasoned			"1,3"	2		D	"s voicing, unstressed V"
secure	 		ND	1		D	
see	-1			1	"1,9"	D	
seeds			"1,9"	2		D	
seen	1			1	"1,9"	D	
sense			"1,2,4"	1		D	
serve			"1,4,8"	1		D	
set			1	1		D	
several	 		"1,8,10"	1		D	
shadows			"1,9"	2		D	
shapes			"1,4,6"	2		D	
share			"1,2,4"	1		D	
shark			"1,8"	1		D	
sharks			"1,8"	2		D	
sharp			"1,8"	1		D	
she	-1			1	"1,5"	D	
shed			1	1		D	
ship			1	1		D	
shooting			"1,3,9"	2		D	
shortly			"1,6,8"	2		D	
should	1			1		ND	
show	0			1	"1,9"	D	
showed	0		"S,3"	2	1,3	D	sight word + ed
shut			1	1		D	
sides	1		"S,6"	2	"1,6"	D	sight word + s
sidewalk	"1,0"	Compound	"S,S"	 2		D	
sill			1	1		D	
sing	0			1	"1,2"	D	
singing	0		"S,3"	2	"1,2,3"	D	sight word + ing
sister	1			1	"1,8"	D	
sit	-1			1	1	D	
six	1			1	1	D	
sixth			"1,2"	1		D	-th suffix needed?
size			"1,4"	1		D	
skies	0		"S,10"	2	"1,2,5,10"	D	sight word + es
skills			"1,2"	2		D	
skin			"1,2"	1		D	
sky	0			1	"1,2,5"	D	
skydivers	"0,D"	Compound	"S,1,4,10"	3		D	
sleep	0		 	1	"1,2,9"	D	
sleeping	0		"S,3"	2	"1,2,3,9"	D	sight word + ing
sleeps	0		"S,1"	2	"1,2,9"	D	sight word + s
sleeve			"1,2,4,9"	1		D	
sliced			"1,2,4,6,7"	2		D	
slower	0		"S,6"	2	"1,2,6,9"	D	sight word + er
slowly	0		"S,6"	2	"1,2,6,9"	D	sight word + ly
small	0			1	"1,2"	D	
smaller	0		"S,6"	2	"1,2,6"	D	sight word + er
smell	1			1	"1,2"	D	
smelling	1		"S,3"	2	"1,2,3"	D	sight word + ing
smiled	1			2	"1,2,3,4,6,10"	D	
