	token	constituent_of_ADJP	constituent_of_ADVP	constituent_of_NP	constituent_of_PP	constituent_of_S_like	constituent_of_VP	parent_depth	pos_tag	pos_,	pos_.	pos_CC	pos_CD	pos_DT	pos_IN	pos_JJ	pos_MD	pos_NN	pos_NNP	pos_NNS	pos_PRP	pos_PRP$	pos_RB	pos_RP	pos_TO	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_WP
17	,	0	0	0	0	0	0	0	,	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Sam	0	0	0	0	0	0	0	NNP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19	heard	0	0	0	0	0	1	1	VBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
20	a	0	0	1	0	0	1	2	DT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	noise	0	0	1	0	0	1	2	NN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
22	coming	0	0	1	0	0	1	2	VBG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
23	from	0	0	1	1	0	1	3	IN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	the	0	0	1	1	0	1	3	DT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	tree	0	0	1	1	0	1	3	NN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
26	above	0	0	1	1	0	1	3	IN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	their	0	0	1	1	0	1	3	PRP$	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
28	heads	0	0	1	1	0	1	3	NNS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
29	.	0	0	0	0	0	0	0	.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	Jo	0	0	0	0	0	0	0	NNP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
31	climbed	0	0	0	0	0	1	1	VBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
32	up	0	0	0	0	0	1	1	RP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
33	to	0	0	0	0	0	1	1	TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
34	see	0	0	0	0	0	1	1	VB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
35	what	0	0	0	0	1	1	2	WP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
36	the	0	0	1	0	1	1	4	DT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
