token	ngram_1_1	ngram_1_0	ngram_2_0	word_len	cmu_len	dolch_0a	dolch_0b	dolch_1	dolch_2	dolch_3	occ_0	occ_1	occ_2	occ_3	occ_4	occ_5	occ_6	occ_7	occ_8	occ_9	is_compound	decodable	n_morphs	sight_word_PP	sight_word_P	sight_word_1	lts_1	lts_2	lts_3	lts_4	lts_5	lts_6	lts_7	lts_8	lts_9	lts_10	lts_11	lts_12	grade_1_if_decodable	grade_2_if_decodable	grade_3_if_decodable	grade_4_if_decodable	constituent_of_ADJP	constituent_of_ADVP	constituent_of_NP	constituent_of_PP	constituent_of_S_like	constituent_of_VP	parent_depth	"pos_,"	pos_.	pos_CC	pos_CD	pos_DT	pos_IN	pos_JJ	pos_MD	pos_NN	pos_NNP	pos_NNS	pos_PRP	pos_PRP$	pos_RB	pos_RP	pos_TO	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_WP
two	0.000401353073612752	0.671455158315767	0.0537394841486372	3	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
baby	0.000184709473467747	0.0327083241586541	0.000401353073612752	4	4	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
squirrels	0.000568253159236259	0.0043204956047242100	0.000184709473467747	9	7	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	2	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
.	0.175156079050667	0.175156079050667	0.000568253159236259	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_START_	4882.65086901489	0.0	0.0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The	0.0961981718529926	4882.65086901489	4882.65086901489	3	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
babies	0.074496963279452	0.980079221612118	0.0961981718529926	6	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
were	0.000123826774881123	0.352289008529679	0.074496963279452	4	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
alone	0.435703296887845	0.98172271460409	0.000123826774881123	5	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
","	1.74024687448041	50.936337715267900	0.435703296887845	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
