token	ngram_1_1	ngram_1_0	ngram_2_0	word_len	cmu_len	dolch_0a	dolch_0b	dolch_1	dolch_2	dolch_3
Jo	6.06199853520335e-05	0.19143639634349285	0.00024780758592676133	2	2	0	0	0	0	0
smiled	0.0009637474843672076	0.0030548146278047057	6.06199853520335e-05	6	5	0	0	0	0	0
,	0.011531066804500872	6.653336726469474	0.0009637474843672076	1	0	1	1	1	1	1
knowing	0.7765610609928937	7.919675513277503	0.011531066804500872	7	4	0	0	0	0	0
the	0.0	3.714220644619896	0.7765610609928937	3	2	1	1	1	1	1
squirrels	0.009513367386664962	0.18400902704830213	0.0	9	7	0	0	0	0	0
were	0.0	0.04155169602564455	0.009513367386664962	4	2	0	0	1	1	1
safe	0.005719155810137674	0.4969211658113099	0.0	4	3	0	0	0	0	0
with	0.00299859246813553	0.26343495341243145	0.005719155810137674	4	3	0	1	1	1	1
their	0.2555215652946034	65.91353155168004	0.00299859246813553	5	3	0	0	0	1	1
mother	0.3863919412315076	3.2912687805160425	0.2555215652946034	6	4	1	1	1	1	1
.	14.24515002155636	14.24515002155636	0.3863919412315076	1	0	1	1	1	1	1
