Session,WCPM,Acc,Comp,Exp,level
50164,134.0,0.99,7.6,3.2,16
50590,41.0,0.873,4.9,1.8,7
50749,53.0,0.816,4.5,1.8,6
51800,122.0,0.967,6.9,3.3,15
51823,43.0,0.959,3.4,1.6,7
51858,38.0,0.884,5.7,1.5,6
52043,83.0,0.995,7.4,2.8,11
52098,84.0,0.894,4.6,2.2,8
52099,81.0,0.995,7.8,2.8,11
52112,59.0,1.0,3.2,2.0,9
52236,140.0,0.882,5.5,3.1,17
52345,30.0,0.645,3.9,1.2,4
52416,33.0,0.868,4.6,1.5,6
52632,143.0,1.0,4.1,3.5,17
52677,77.0,0.977,5.8,1.9,10
52872,124.0,0.98,7.3,3.3,15
53345,112.0,0.995,6.8,3.0,14
53579,42.0,0.77,2.6,1.3,5
53614,135.0,1.0,5.8,3.4,16
53644,52.0,0.7609999999999999,6.6,1.8,6
53945,64.0,1.0,7.0,2.2,9
16795,36.0,0.933,5.9,1.5,6
16806,35.0,0.877,3.0,1.4,6
16817,59.0,0.968,7.1,2.1,8
16970,44.0,0.915,4.9,1.9,6
17230,32.0,0.868,4.3,1.3,5
19791,31.0,0.7559999999999999,4.6,1.4,5
19982,38.0,0.85,4.5,1.5,6
20059,52.0,0.728,3.3,1.9,7
20183,57.0,0.91,5.5,2.4,8
20217,42.0,0.843,3.4,1.8,6
20244,56.0,0.931,5.5,1.7,7
22001,58.0,0.984,4.9,2.3,8
26946,126.0,0.951,3.1,3.7,14
26995,140.0,0.984,5.6,3.7,15
27162,58.0,0.955,7.4,2.0,8
27171,68.0,0.976,6.6,2.6,9
27539,60.0,0.951,7.3,2.1,8
27687,173.0,1.0,7.1,4.0,18
27717,87.0,0.988,6.4,2.5,10
27861,54.0,0.8290000000000001,7.3,1.8,7
27873,24.0,0.737,1.8,1.1,5
27907,63.0,0.979,5.8,2.4,8
29407,111.0,0.949,2.9,3.1,12
29476,54.0,0.938,5.6,1.8,7
29650,30.0,0.602,4.3,1.3,5
30248,75.0,0.988,6.2,2.4,9
30474,119.0,1.0,5.7,3.2,13
30518,49.0,0.879,5.7,2.0,7
30697,95.0,0.971,7.6,2.7,12
30890,83.0,1.0,8.0,3.3,11
30976,96.0,1.0,7.0,2.9,12
31086,120.0,0.988,6.7,2.9,14
31213,37.0,0.644,4.0,1.5,6
31292,59.0,0.933,6.8,2.3,8
31743,38.0,0.76,3.1,1.7,6
32609,35.6,0.818,3.0,1.5,6
32762,64.0,0.984,5.9,2.3,8
32764,94.0,0.758,3.8,2.6,8
32852,104.0,0.96,5.6,2.7,12
33108,85.0,1.0,4.6,3.2,10
33138,75.0,0.985,6.5,2.5,9
33184,45.0,0.768,6.3,1.9,6
33449,109.0,1.0,7.1,3.4,13
34238,91.0,1.0,7.3,2.8,11
35750,97.0,0.988,4.7,2.8,11
36278,66.0,0.951,6.2,2.2,8
38411,86.0,0.979,6.3,2.7,10
38761,76.0,0.927,4.5,1.9,9
38907,108.0,1.0,7.9,3.1,12
38996,127.0,1.0,7.0,3.8,14
39121,81.0,0.705,4.6,1.7,7
39768,93.0,0.988,7.3,2.6,11
39880,145.0,0.979,5.3,3.8,15
39988,84.0,0.992,6.0,2.6,10
40347,111.0,0.996,6.5,3.3,12
40403,79.0,0.971,5.6,2.3,10
40416,124.0,1.0,7.3,3.8,14
