Session,WCPM,Acc,Comp,Exp,level,B_new,C_new,E_new,F_new,G_new,H_new,J_new,K_new,L_new,M_new,N_new,O_new,P_new,Q_new,mlevel_numeric,form_numeric,mlevel_form_diff,text_is_above_level
41536.0,28.0,0.812,4.1,1.3,3.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,3,8,-5,0
41671.0,32.0,0.871,4.1,1.4,6.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,6,8,-2,0
41862.0,107.0,0.995,5.7,3.0,13.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,12,8,4,1
41898.0,84.0,0.985,2.9,2.4,10.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,10,8,2,1
42261.0,145.0,1.0,5.0,3.8,16.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,12,8,4,1
42340.0,54.0,0.9420000000000001,3.7,1.7,8.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,8,8,0,0
42426.0,89.0,0.9209999999999999,5.4,2.4,11.0,3.0,3.0,3.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,11,8,3,1
42561.0,109.0,0.991,3.1,3.3,13.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,3.0,12,8,4,1
42677.0,115.0,0.983,4.5,3.2,13.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,12,8,4,1
43325.0,112.0,0.94,5.0,3.3,13.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,12,8,4,1
43871.0,119.0,0.9670000000000001,5.9,3.2,14.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,12,8,4,1
44656.0,36.0,0.915,3.2,1.4,6.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,2.0,6,8,-2,0
