Response,WCPM,Acc,Comp,Exp,level,WCPM_response,Comp_response,Exp_response,undetermined,1_or_2,2_unanimous,2_or_3,3_unanimous
685081,101.0,0.961,3.3,3.1,12,103.0,3.9,3.0,0,0,0,0,1
685081,101.0,0.961,3.3,3.1,12,103.0,3.9,3.0,0,0,0,0,1
685085,101.0,0.961,3.3,3.1,12,101.5,3.4,3.1,0,0,0,0,1
685085,101.0,0.961,3.3,3.1,12,101.5,3.4,3.1,0,0,0,0,1
685085,101.0,0.961,3.3,3.1,12,101.5,3.4,3.1,0,0,0,0,1
685369,76.0,0.9359999999999999,4.9,2.6,10,69.3,4.8,2.3,0,0,0,0,1
685369,76.0,0.9359999999999999,4.9,2.6,10,69.3,4.8,2.3,0,0,0,0,1
685369,76.0,0.9359999999999999,4.9,2.6,10,69.3,4.8,2.3,0,0,0,0,1
685369,76.0,0.9359999999999999,4.9,2.6,10,69.3,4.8,2.3,0,0,0,0,1
685369,76.0,0.9359999999999999,4.9,2.6,10,69.3,4.8,2.3,0,0,0,0,1
685373,76.0,0.9359999999999999,4.9,2.6,10,76.9,5.0,2.5,0,0,0,0,1
685373,76.0,0.9359999999999999,4.9,2.6,10,76.9,5.0,2.5,0,0,0,0,1
685373,76.0,0.9359999999999999,4.9,2.6,10,76.9,5.0,2.5,0,0,0,0,1
685377,76.0,0.9359999999999999,4.9,2.6,10,86.9,4.9,2.6,0,0,0,0,1
685377,76.0,0.9359999999999999,4.9,2.6,10,86.9,4.9,2.6,0,0,0,0,1
685377,76.0,0.9359999999999999,4.9,2.6,10,86.9,4.9,2.6,0,0,0,0,1
693669,36.0,0.847,3.4,1.4,6,37.9,3.9,1.6,0,0,1,0,0
693669,36.0,0.847,3.4,1.4,6,37.9,3.9,1.6,0,0,1,0,0
693669,36.0,0.847,3.4,1.4,6,37.9,3.9,1.6,0,0,1,0,0
693669,36.0,0.847,3.4,1.4,6,37.9,3.9,1.6,0,0,1,0,0
693669,36.0,0.847,3.4,1.4,6,37.9,3.9,1.6,0,0,1,0,0
693673,36.0,0.847,3.4,1.4,6,37.7,2.1,1.7,0,0,0,1,0
693673,36.0,0.847,3.4,1.4,6,37.7,2.1,1.7,0,0,0,1,0
693673,36.0,0.847,3.4,1.4,6,37.7,2.1,1.7,0,0,0,1,0
693677,36.0,0.847,3.4,1.4,6,41.5,4.2,1.7,0,0,0,1,0
693677,36.0,0.847,3.4,1.4,6,41.5,4.2,1.7,0,0,0,1,0
693677,36.0,0.847,3.4,1.4,6,41.5,4.2,1.7,0,0,0,1,0
701448,63.0,0.924,3.9,2.2,9,64.1,3.7,2.1,0,0,0,1,0
701448,63.0,0.924,3.9,2.2,9,64.1,3.7,2.1,0,0,0,1,0
701448,63.0,0.924,3.9,2.2,9,64.1,3.7,2.1,0,0,0,1,0
701448,63.0,0.924,3.9,2.2,9,64.1,3.7,2.1,0,0,0,1,0
701452,63.0,0.924,3.9,2.2,9,56.0,2.7,2.0,0,0,0,1,0
701452,63.0,0.924,3.9,2.2,9,56.0,2.7,2.0,0,0,0,1,0
701452,63.0,0.924,3.9,2.2,9,56.0,2.7,2.0,0,0,0,1,0
