item,token,not_sightword,not_decodable,not_decodable_at_grade_level
2401,grandparents,1,,1
2401,are,,,
2401,coming,,1,
2401,to,,,
2401,live,,1,
2401,with,,,
2401,them,,1,
2401,peter,1,,1
2401,is,,,
2401,excited,1,,1
2401,about,,,1
2401,moving,,1,
2401,because,,,1
2401,the,,,
2401,new,,,
2401,house,,,
2401,is,,,
2401,close,,,
2401,to,,,
2401,the,,,
2401,school,,,1
2401,he,,,
2401,can,,,
2401,walk,,,
2401,to,,,
2401,school,,,1
2401,now,,,
2401,instead,1,,
2401,of,,,
2401,riding,,,
2401,the,,,
2401,bus,,,
2401,there,,1,
2401,is,,,
2401,a,,,
2401,work,,,1
2401,shed,1,,
2401,in,,,
2401,the,,,
2401,back,,,
2401,where,,,
2401,he,,,
2401,and,,,
2401,grandpa,1,,
2401,can,,,
2401,work,,,1
2401,together,,1,
2401,on,,,
2401,wood,,,
2401,projects,1,,
2401,peter,1,,1
2401,hopes,1,,1
2401,they,,,
2401,can,,,
2401,build,1,1,
2401,a,,,
2401,tree,,,
2401,house,,,
2401,in,,,
2401,the,,,
2401,large,1,,1
2401,oak,1,,
2401,tree,,,
330,sam,1,,
330,and,,,
330,jo,1,,1
330,went,,,
330,for,,,
330,a,,,
330,hike,1,,
330,they,,,
330,took,,,
330,a,,,
330,path,1,,
330,through,1,1,
330,the,,,
330,woods,,,
330,suddenly,1,,1
330,sam,1,,
330,heard,,1,
330,a,,,
330,noise,,,
330,coming,,1,
330,from,,,
330,the,,,
330,tree,,,
330,above,1,1,
330,their,,1,
330,heads,1,,
330,jo,1,,1
330,climbed,1,1,
330,up,,,
330,to,,,
330,see,,,
330,what,,,
330,the,,,
330,noise,,,
330,was,,1,
330,and,,,
330,found,,,
330,two,,1,
330,baby,1,,1
330,squirrels,,,
330,the,,,
330,babies,1,,1
330,were,,1,
330,alone,,,1
330,but,,,
330,their,,1,
330,mother,,1,
330,must,,,
330,be,,,
330,somewhere,1,1,
330,near,,,
330,the,,,
330,children,,,
330,watched,,,1
330,and,,,
330,waited,,,
330,sure,1,1,
330,enough,1,1,
330,the,,,
330,mother,,1,
330,soon,,,
330,returned,1,,1
330,with,,,
330,a,,,
330,mouthful,1,,1
330,of,,,
330,nuts,1,,
330,the,,,
330,noises,,,1
330,stopped,,,
330,as,,,
330,the,,,
330,baby,1,,1
330,squirrels,,,
330,began,,,1
330,to,,,
330,eat,,,
330,sam,1,,
330,and,,,
330,jo,1,,1
330,smiled,,,1
330,knowing,,,1
330,the,,,
330,squirrels,,,
330,were,,1,
330,safe,1,,
330,with,,,
330,their,,1,
330,mother,,1,
2201,how,,,
2201,do,,,
2201,plants,1,,
